Index,Time,Wind Value(mph),Temp(°F),,,,,,Start time ,end time ,Max wind Speed 
75, 11:00:04,2.4,71,,,,,,,,
76, 11:00:05,2.4,71,,,,,,,,
77, 11:00:06,2.6,71,,,,,,,,
78, 11:00:07,2.9,71,,,,,,,,
79, 11:00:08,4,71,,,,,,,,
80, 11:00:09,3.5,71,,,,,,,,
81, 11:00:10,3.3,71,,,,,,,,
82, 11:00:11,4,70.8,,,,,,,,
83, 11:00:12,3.1,70.8,,,,,,,,
84, 11:00:13,2.6,71,,,,,,,,
85, 11:00:14,2.4,71,,,,,,,,
86, 11:00:15,2.4,71,,,,,,,,
87, 11:00:16,4,71,,,,,,,,
88, 11:00:17,6.7,70.5,,,,,,,,
89, 11:00:18,7.3,70.5,,,,,,,,
90, 11:00:19,7.8,70.3,,,,,,,,
91, 11:00:20,8.5,70.3,,,,,,,,
92, 11:00:21,8.5,70.3,,,,,,,,
93, 11:00:22,8.5,70.3,,,,,,,,
94, 11:00:23,7.1,70.1,,,,,,,,
95, 11:00:24,4.7,70.1,,,,,,,,
96, 11:00:25,5.6,70.1,,,,,,,,
97, 11:00:26,6.7,70.1,,,,,,,,
98, 11:00:27,5.1,70.1,,,,,,,,
99, 11:00:28,3.3,70.1,,,,,,,,
100, 11:00:29,2.9,70.5,,,,,,,,
101, 11:00:30,2.4,70.5,,,,,,,,
102, 11:00:31,2.2,70.7,,,,,,,,
103, 11:00:32,2.4,70.7,,,,,,,,
104, 11:00:33,5.3,70.5,,,,,,,,
105, 11:00:34,7.6,70.5,,,,,,,,
106, 11:00:35,7.3,70.3,,,,,,,,
107, 11:00:36,7.6,70.3,,,,,,,,
108, 11:00:37,7.6,70.1,,,,,,,,
109, 11:00:38,7.3,70.1,,,,,,,,
110, 11:00:39,8,69.9,,,,,,,,
0, 11:00:40,8.7,69.9,,,,,,,,
1, 11:00:41,8.5,69.8,,,,,,,,
2, 11:00:42,8.2,69.8,,,,,,,,
3, 11:00:43,7.8,69.8,,,,,,,,
4, 11:00:44,8.2,69.8,,,,,,,,
5, 11:00:45,8.9,69.6,,,,,,,,
6, 11:00:46,7.6,69.6,,,,,,,,
7, 11:00:47,5.8,69.6,,,,,,,,
8, 11:00:48,6.7,69.6,,,,,,,,
9, 11:00:49,7.6,69.6,,,,,,,,
10, 11:00:50,8,69.6,,,,,,,,
11, 11:00:51,10.9,69.6,,,,,,,,
12, 11:00:52,10,69.6,,,,,,,,
13, 11:00:53,8.9,69.4,,,,,,,,
14, 11:00:54,9.1,69.4,,,,,,,,
15, 11:00:55,8,69.6,,,,,,,,
16, 11:00:56,7.8,69.6,,,,,,,,
17, 11:00:57,8.2,69.6,,,,,,,,
18, 11:00:58,9.4,69.6,,,,,,,,
19, 11:00:59,8.7,69.6,,,,,,,,
20, 11:01:00,6.9,69.6,,,,,,,,
21, 11:01:01,5.8,69.6,,,,,,,,
22, 11:01:02,5.6,69.6,,,,,,,,
23, 11:01:03,7.6,69.4,,,,,,,,
24, 11:01:04,7.8,69.4,,,,,,,,
25, 11:01:05,8.9,69.4,,,,,,,,
26, 11:01:06,7.6,69.4,,,,,,,,
27, 11:01:07,7.6,69.4,,,,,,,,
28, 11:01:08,10.7,69.4,,,,,,,,
29, 11:01:09,10.5,69.2,,,,,,,,
30, 11:01:10,9.1,69.2,,,,,,,,
31, 11:01:11,8.9,69.2,,,,,,,,
32, 11:01:12,10.3,69.2,,,,,,,,
33, 11:01:13,9.8,69,,,,,,,,
34, 11:01:14,9.4,69,,,,,,,,
35, 11:01:15,9.4,69,,,,,,,,
36, 11:01:16,10.7,69,,,,,,,,
37, 11:01:17,10.7,68.9,,,,,,,,
38, 11:01:18,10.5,68.9,,,,,,,,
39, 11:01:19,10.7,68.9,,,,,,,,
40, 11:01:20,10,68.9,,,,,,,,
41, 11:01:21,9.8,68.9,,,,,,,,
42, 11:01:22,9.6,68.9,,,,,,,,
43, 11:01:23,8.9,68.9,,,,,,,,
44, 11:01:24,8.9,68.9,,,,,,,,
45, 11:01:25,7.8,68.9,,,,,,,,
46, 11:01:26,6.9,68.9,,,,,,,,
47, 11:01:27,8.7,68.9,,,,,,,,
48, 11:01:28,10.3,68.9,,,,,,,,
49, 11:01:29,7.6,68.9,,,,,,,,
50, 11:01:30,6.9,68.9,,,,,,,,
51, 11:01:31,8.2,68.9,,,,,,,,
52, 11:01:32,7.8,68.9,,,,,,,,
53, 11:01:33,10.5,68.9,,,,,,,,
54, 11:01:34,10.7,68.9,,,,,,,,
55, 11:01:35,8.2,68.9,,,,,,,,
56, 11:01:36,7.6,68.9,,,,,,,,
57, 11:01:37,7.3,68.9,,,,,,,,
58, 11:01:38,9.4,68.9,,,,,,,,
59, 11:01:39,10.2,68.7,,,,,,,,
60, 11:01:40,8.7,68.7,,,,,,,,
61, 11:01:41,7.3,68.9,,,,,,,,
62, 11:01:42,6.7,68.9,,,,,,,,
